Song_title,Artist,genre,release_date,topic,len
funny how time slips away,willie nelson,country,1962,night/time,34
do you know my jesus,don gibson,country,1964,world/life,48
out of control,mobb deep,hip hop,2007,obscene,52
"woman, woman",gary puckett & the union gap,pop,1968,romantic,53
sick bubblegum,rob zombie,rock,2010,violence,109
can't you just see me,aretha franklin,blues,1996,violence,42
strike the root,thievery corporation,jazz,2017,violence,113
hello darlin',conway twitty,country,1970,romantic,49
bend,corey smith,country,2015,violence,88
it's too late,marvin sease,blues,1991,world/life,195
get up stand up,bunny wailer,reggae,1987,violence,91
danny boy,johnny cash,country,1965,violence,36
joe cool,b.b. king,blues,1987,obscene,91
set a fire,will reagan,pop,2012,sadness,120
i love jah,the ethiopians,reggae,1977,world/life,41
bo diddley is a lover,bo diddley,blues,1961,sadness,31
shattered dreams,johnny hates jazz,pop,1988,sadness,82
to wish impossible things,the cure,rock,1992,sadness,48
"sisters, o sisters",yoko ono,pop,1972,world/life,52
walking blues,brownie mcghee,country,1959,sadness,60
ring (feat. kehlani),cardi b,pop,2018,music,137
i want your (hands on me),sinéad o'connor,pop,1987,romantic,50
moanin',tucka,blues,2011,obscene,146
kaleidoscope,a great big world,rock,2015,world/life,113
bill gates,lil wayne,pop,2010,obscene,195
loving you is sweeter than ever,the band,country,1972,world/life,99
metal fatigue,allan holdsworth,jazz,1985,night/time,75
china doll,george hamilton iv,country,1963,sadness,40
when love has grown,george benson,jazz,1973,music,54
one year of love,queen,rock,1986,sadness,61
until,cassandra wilson,jazz,1995,world/life,56
circle of hands,uriah heep,blues,1972,world/life,56
i better be good,alice cooper,blues,1982,obscene,133
full moon,wailing souls,reggae,1987,violence,51
funkdafied,da brat,pop,1994,obscene,153
annie's going to sing her song,bob dylan,pop,1970,music,88
i'm leaving now,johnny cash,country,1985,sadness,83
this time,jamey johnson,country,2011,night/time,31
guess it’s all over,mndsgn,jazz,2016,violence,77
something to say,joe cocker,blues,2009,world/life,60
i ain't no saint,rory gallagher,blues,1987,violence,63
racism,adam calhoun,country,2018,obscene,189
senza fine,dean martin,jazz,2014,world/life,48
scratch my back,the fabulous thunderbirds,country,1979,obscene,28
the road,waylon jennings,country,1967,music,29
ganges delta blues,ry cooder & v.m. bhatt,jazz,2011,world/life,190
it's my job to keep punk rock elite,nofx,pop,1997,obscene,25
alumni blues (hot tuna),hot tuna,country,2001,violence,136
freedom fighter,black uhuru,reggae,1991,obscene,164
let me call you sweetheart,bing crosby,jazz,1996,music,13
party in hell,aaron lewis,country,2012,obscene,51
move me,the upsetters,reggae,1972,violence,115
i don't care who knows,koko taylor,blues,1987,obscene,194
it's the talk of the town,dean martin,jazz,1966,sadness,41
keep on doing it,cocoa tea,reggae,1990,obscene,168
that's as close as i'll get to loving you,aaron tippin,country,1995,romantic,54
the memory remains,metallica,rock,1997,violence,112
caring is creepy,the shins,pop,2001,violence,37
model citizen,alice cooper,blues,1980,violence,67
heartbeats,josé gonzález,pop,2006,romantic,61
i can't help myself,bonnie raitt,blues,1982,sadness,63
i'll sleep when i'm dead,warren zevon,country,1976,violence,54
uptown dub,black uhuru,reggae,1986,obscene,185
my good gal,old crow medicine show,country,2006,feelings,99
all about tonight,blake shelton,country,2010,night/time,99
at dizzy's,henace,jazz,2019,violence,73
swinging on a star,bing crosby,jazz,1962,obscene,72
what about you,dr. hook,pop,1976,world/life,57
country air,the beach boys,pop,1967,violence,26
i'm through with love,chuck berry,blues,1987,sadness,32
the stand,mother mother,rock,2011,violence,98
black roses,nashville cast,country,2014,violence,74
i give you my word,the platters,pop,1956,music,28
one life to live (feat. mc eiht),pete rock,jazz,1998,obscene,168
inner light spectrum,311,reggae,1997,world/life,71
on my knees,dorothy,blues,2018,violence,120
fairy tales for two,willie bobo,jazz,1978,world/life,124
criminally insane,slayer,rock,1986,world/life,55
open arms,collin raye,country,1991,sadness,50
smile away,paul mccartney,rock,1971,sadness,113
there's you,cody johnson,country,2011,romantic,42
take the devil out of me,george jones,country,1959,violence,46
keeper of the flame,nina simone,blues,1967,world/life,44
bella bella bambina,dean martin,jazz,1961,romantic,60
embraceable you,johnny mathis,pop,1959,romantic,32
one day i'll fly away,randy crawford,pop,1980,sadness,7
dream girl,kolohe kai,pop,2009,world/life,62
roll call,tenor saw,reggae,1987,music,141
every time she whispers,michael franks,jazz,1999,romantic,126
my religion's not old-fashioned (but it's real genuine),hank snow,country,1966,world/life,100
hollywood swinging,jamiroquai,jazz,1996,music,88
keep it thoro,prodigy,hip hop,2019,obscene,75
bring it back,travis porter,pop,2012,obscene,185
promises,maxi priest,reggae,1992,world/life,50
hit,the sugarcubes,pop,1991,sadness,86
showdown,slowy,jazz,2014,obscene,77
with tears in my eyes,hank williams,country,1992,sadness,55
love is all,the tallest man on earth,pop,2010,violence,27
willie and the hand jive,george thorogood & the destroyers,blues,1985,romantic,106
count to 3,the green,reggae,2013,world/life,57
boss hoss,the sonics,blues,1965,obscene,80
today's lonely fool,tracy lawrence,country,1991,sadness,72
homage,mild high club,rock,2016,music,16
kiss this,aaron tippin,country,2000,romantic,89
summer wine,nancy sinatra,pop,1968,music,40
havin' fun,dion,pop,1961,sadness,34
life,doyle bramhall ii,blues,2001,world/life,39
devil may care,diana krall,jazz,1999,world/life,36
killer whales,smallpools,rock,2015,world/life,107
poison was the cure,megadeth,rock,1990,violence,61
fallin',al jarreau,jazz,1984,sadness,45
i'd love you all over again,alan jackson,country,1990,world/life,26
sticks and stones,william clark green,country,2015,obscene,99
the fire (remains),the dear hunter,jazz,2016,sadness,105
when i fall in love,johnny mathis,pop,1959,sadness,23
drift and die,puddle of mudd,pop,2001,sadness,36
sailing on,the derek trucks band,blues,2006,music,47
nanna,xavier rudd,reggae,2015,violence,151
how will i laugh tomorrow,suicidal tendencies,rock,1988,world/life,88
i can't change my tune,"hank williams, jr.",country,1982,music,34
hole in the pumpkin,ini kamoze,reggae,1988,violence,93
best day of my life,american authors,pop,2014,world/life,93
don't walk away,no justice,country,2006,sadness,60
take a love song,donny hathaway,jazz,1971,world/life,65
poema,los hermanos arriagada,pop,1954,sadness,55
endless ways,ryan bingham,country,2009,violence,47
lonesome standard time,kathy mattea,country,1992,music,101
hey stoopid,alice cooper,blues,1989,obscene,71
the everlasting gaze,the smashing pumpkins,pop,2000,violence,95
supersonic,bad religion,pop,2002,world/life,84
out from under,ali campbell,reggae,2009,world/life,80
who you'd be today,kenny chesney,country,2005,world/life,81
church,t-pain,pop,2007,obscene,13
me and my boys (feat. jb and the moonshine band),the lacs,country,2010,obscene,191
getting to the point,electric light orchestra,pop,1986,violence,101
the creature from the black leather lagoon,the cramps,blues,1989,violence,164
jesus walking on the water,violent femmes,pop,1984,romantic,22
nevermind,foster the people,rock,2014,violence,83
who am i?,nina simone,jazz,1969,world/life,35
miles to go,samantha fish,blues,2013,violence,42
the beast,twisted sister,rock,1984,world/life,69
a wonderful yesterday,willie nelson,country,1968,world/life,27
nugget,cake,pop,1996,obscene,149
you're not the one (i was looking for),blue öyster cult,blues,1979,obscene,39
what am i doing here?,the moody blues,pop,1968,violence,68
kind of woman,stevie nicks,rock,1981,romantic,50
happy ending,mika,pop,2007,world/life,58
down on music row,dolly parton,country,1973,music,89
hotel key,old dominion,country,2017,sadness,136
one day away,buddy guy,blues,2013,world/life,16
miss alissa,eagles of death metal,blues,2004,feelings,76
down the dolce vita,peter gabriel,pop,1977,violence,70
it's all in the game,ricky nelson,pop,1959,sadness,24
biscuit,portishead,pop,1994,sadness,46
unchained melody,the righteous brothers,pop,1965,night/time,14
an empty glass (that's the way the day ends),randy rogers band,country,2005,night/time,47
call me star,all them witches,blues,2015,sadness,19
stand by my girl,dan auerbach,blues,2017,violence,76
the patron saint of liars and fakes,fall out boy,pop,2003,violence,68
that year,uncle tupelo,country,1990,world/life,40
break from toronto,partynextdoor,pop,2013,obscene,90
crying in the chapel,the orioles,blues,2005,world/life,46
(i believe) there's nothing stronger than our love,paul anka,pop,1975,world/life,82
history of a boring town,less than jake,pop,1998,world/life,101
hate me now (feat. puff daddy),nas,pop,1999,obscene,105
sittin' in the balcony,eddie cochran,pop,1957,romantic,39
breathing,kate bush,pop,1980,violence,131
black swan,thom yorke,pop,2006,obscene,75
welcome to hell,trace adkins,country,2003,violence,88
carry me back to the lone prairie,eddy arnold,country,1963,music,42
wicked rebel,slightly stoopid,reggae,2003,obscene,189
punani a mi best friend,vybz kartel,reggae,2013,obscene,147
one mint julep,louis prima,blues,1951,obscene,82
bobby sox to stockings,frankie avalon,pop,1960,world/life,56
the rewrite,mike ryan,country,2017,music,92
the difference between a woman and a man,josh turner,country,2003,romantic,29
"ego trippin' (12"" version)",ultramagnetic mc's,hip hop,2018,obscene,41
frogs,alice in chains,rock,1995,violence,79
settled down like rain,the jayhawks,country,1992,violence,43
dreaming my dreams with you,waylon jennings,country,1972,world/life,26
old time feelin',humble pie,blues,1972,obscene,39
another empty bottle,katy mcallister,rock,2012,sadness,123
the walls of a prison,johnny cash,country,1967,violence,56
landslide,stevie nicks,rock,2011,world/life,65
do you really want me,kofi,reggae,1989,obscene,122
foxtrot uniform charlie kilo,bloodhound gang,rock,2005,obscene,36
act of affection,wailing souls,reggae,1980,night/time,55
trouble ain't far behind,gary moore,blues,2008,sadness,32
el hombre del equipo,grupo maximo grado,pop,2016,violence,49
jussummen,das efx,hip hop,2019,obscene,111
us,regina spektor,pop,2004,world/life,80
old rock 'n roller,the charlie daniels band,country,1989,music,78
no more tears,lesley gore,pop,1963,sadness,63
greenwich village folk song salesman,nancy sinatra,pop,1968,music,87
be mine (tonight) (feat. grady tate),"grover washington, jr.",jazz,1980,night/time,68
it's the same old song,four tops,rock,2000,music,100
alone together,judy garland,jazz,1961,violence,17
kick down,long beach dub allstars,reggae,1999,violence,85
all the time,bahamas,pop,2014,night/time,25
besame mucho (kiss me),vera lynn,jazz,2019,world/life,33
carrie brown,steve earle,country,1999,world/life,95
weep themselves to sleep,jack white,blues,2012,sadness,33
herbalist,mungo's hi fi,reggae,2008,violence,87
london dungeon,misfits,rock,1986,violence,77
buss up barriers,morgan heritage,reggae,1999,violence,179
poor boy long ways from home,bukka white,blues,1963,music,50
the world connects,don philippe,jazz,2016,violence,122
make it with you,dennis brown,reggae,1971,sadness,51
eden,tesseract,jazz,2011,sadness,59
shame shame shame,ratt,rock,1990,world/life,141
married to the blues,shemekia copeland,blues,1998,sadness,69
i'm free,merle haggard,country,1969,world/life,51
lookin' for a home,al kooper,country,1969,music,33
use your heart,swv,pop,1996,sadness,99
i keep putting off getting over you,don williams,country,1980,obscene,45
shoot me down,lil wayne,pop,2008,obscene,175
my love is shared,death from above 1979,blues,2002,violence,16
sack full of dreams,donny hathaway,jazz,1980,world/life,70
early prayers,tomorrows bad seeds,reggae,2007,world/life,90
waterfall,jimmy cliff,reggae,2003,world/life,42
now 'til forever,kirk whalum,jazz,2000,world/life,30
that heart belongs to me,george jones,country,1966,sadness,43
how many drinks?,miguel,pop,2012,night/time,198
how's the radio know,aaron tippin,country,1995,music,90
sans toi,michel legrand,jazz,1962,romantic,39
my uncle used to love me but she died,roger miller,country,1974,violence,93
you can count on me,boney james,jazz,2013,world/life,14
change,carrie underwood,country,2009,world/life,101
this is god,phil vassar,country,2003,world/life,47
gotta find my baby,the ravens,blues,1950,obscene,195
blue turning grey over you,louis armstrong,jazz,1955,romantic,20
suffer in truth,meshuggah,jazz,1995,violence,74
anything goes,randy houser,country,2008,feelings,62
throw out the line,38 special,country,1980,obscene,53
annie waits,ben folds,pop,2001,night/time,50
better than that,govana,reggae,2018,obscene,196
can you see me,jimi hendrix,blues,1967,music,51
not with haste,mumford & sons,rock,2012,violence,60
look what thoughts will do,lefty frizzell,country,1950,world/life,44
afternoon delight,starland vocal band,pop,2002,obscene,102
can't sleep this night,john mayall,blues,1969,night/time,37
"top hat, white tie and tales",mel tormé,jazz,2014,violence,92
the more i see you,bobby darin,pop,1961,world/life,50
sweet tears,roy ayers ubiquity,jazz,1972,sadness,29
love ain't no stranger,whitesnake,blues,1984,sadness,78
all we ever do is say goodbye,john mayer,pop,2009,romantic,41
the world i know,collective soul,pop,1995,music,25
you're still on my mind,the byrds,pop,1968,sadness,39
injection,rise against,pop,2006,violence,88
theatre is the life of you,minutemen,pop,1984,violence,20
there's no one else,robben ford,blues,1979,obscene,69
first shot missed him,mississippi john hurt,blues,1991,feelings,35
oh beautiful!,joe bonamassa,blues,2014,music,30
johnny law,wayne hancock,country,1997,obscene,47
don't toss us away,patty loveless,country,1988,sadness,50
easy to slip,little feat,country,1972,sadness,41
let them burn,hours eastly,reggae,2009,violence,86
i can't even drink it away,charlie rich,country,1970,obscene,177
i don't wanna talk about it,indigo girls,pop,1975,sadness,57
dream a little dream,dean martin,jazz,1959,romantic,44
stand by me,john lennon,rock,1975,violence,19
no problem,lil scrappy,pop,2009,obscene,119
the world is waiting for the sunrise,les paul,pop,1953,romantic,25
how can you mend a broken heart,bee gees,rock,1971,sadness,63
somebody got murdered,the clash,rock,1980,violence,75
one step closer to you,michael franti & spearhead,reggae,2006,sadness,86
be yourself,audioslave,rock,2005,sadness,51
crua chan,sumo,reggae,1987,violence,63
spit,kittie,rock,2000,violence,48
figure numatic,nubiyan twist,jazz,2014,obscene,183
all night,echo movement,reggae,2009,music,103
happy man,chicago,rock,1974,sadness,33
once in a very blue moon,nanci griffith,country,1988,music,57
if you belonged to me,traveling wilburys,blues,1990,sadness,52
summer fever,donna summer,pop,1976,music,95
towering fool,gov't mule,blues,1998,sadness,71
"a quick one, while he's away",the who,rock,1966,music,181
she used to be somebody's baby,larry gatlin & the gatlin brothers,country,1984,feelings,178
now that we're dead,metallica,rock,2016,violence,81
it's probably me,sting,rock,1993,violence,69
stand,r.e.m.,pop,2008,violence,120
late in the night,heartless bastards,blues,2012,night/time,50
mr. wendal,arrested development,hip hop,2018,obscene,39
go seek your rights,mighty diamonds,reggae,1976,violence,49
hurts don't it,daryle singletary,country,1996,sadness,56
i love you a thousand ways,lefty frizzell,country,1950,world/life,42
what i learned from loving you,kenny rogers,country,1983,world/life,55
war,the gladiators,reggae,1990,obscene,185
don't ask me why,elvis presley,rock,1958,romantic,13
shine,das efx,hip hop,2019,obscene,74
call it what you want to (it's still love),conway twitty,country,1984,obscene,145
silent witness,ub40,reggae,1981,violence,70
there is no end,the abyssinians,reggae,1976,world/life,49
faith works,soja,reggae,2006,world/life,182
let's talk about sex,salt-n-pepa,pop,1990,obscene,177
cry stampede,marty robbins,country,1996,violence,98
in here,the magpie salute,blues,2019,sadness,73
he's a tramp,melody gardot,jazz,2016,sadness,30
puppy tail,demarco,reggae,2014,violence,140
this what i call her,lil wayne,hip hop,2014,obscene,49
hard for,kevin gates,pop,2016,obscene,191
intro,todd rundgren,pop,1972,music,57
do you hear what i hear?,bing crosby,jazz,2001,music,62
humble.,kendrick lamar,pop,2017,obscene,172
hero,nas,hip hop,2018,obscene,67
assimilate,skinny puppy,rock,1985,violence,152
a fine romance,ella fitzgerald,blues,1957,romantic,75
little bitty heart,claude king,country,1962,sadness,51
in the morning of the magicians,the flaming lips,pop,2002,world/life,21
the fighter,keith urban,country,2016,sadness,92
who to love?,romare,jazz,2016,obscene,190
superstar punani,sublime,reggae,1994,obscene,113
the mystery of the mystery,dolly parton,country,1971,world/life,46
the bright side,dave koz,jazz,1999,violence,118
hey you,the pharcyde,jazz,1995,obscene,152
the sweetest pain,dexter wansel,jazz,1978,sadness,107
i can't hold back,survivor,rock,1984,violence,92
the way it was,the killers,rock,2012,sadness,66
black man ray,china crisis,pop,1985,world/life,34
pal’ río tanamá,cultura profética,reggae,2002,violence,113
oh my goodness ft. big steve,spawnbreezie,reggae,2011,obscene,142
holy cow,lee dorsey,blues,2000,obscene,88
the right time,ray charles,blues,1958,night/time,78
bob wills is still the king,waylon jennings,country,1972,music,56
i've lived a lot in my time,jim reeves,country,1967,world/life,49
i concentrate on you,ella fitzgerald,blues,1956,music,34
true love,al green,blues,1985,violence,40
you're sixteen,johnny burnette,pop,1961,romantic,48
"tall, tall trees",alan jackson,country,1995,sadness,90
magic party,ted nugent,blues,1975,obscene,107
i don't really mind,tame impala,rock,2010,night/time,48
hold on my heart,bad company,blues,1986,sadness,73
close to you,muddy waters,blues,1997,romantic,65
driving home for christmas,chris rea,blues,1988,music,79
down with disease,phish,pop,1994,night/time,50
elsewhere,sarah mclachlan,pop,1993,world/life,78
if i ruled the world,tony bennett,jazz,1965,world/life,47
tamatant tilay,tinariwen,blues,2007,violence,40
drunk on love,basia,jazz,1987,violence,69
you'll always be the one i love,dean martin,jazz,1965,sadness,21
face to the floor,chevelle,rock,2011,obscene,25
how long,pat kelly,reggae,1987,sadness,45
it's so easy falling,manfred mann,blues,1994,sadness,30
between angels and insects,papa roach,pop,2001,obscene,49
within you,david bowie,rock,1986,world/life,19
hang your head in shame,carl smith,country,1958,sadness,39
i've got you under my skin,shirley bassey,pop,1959,violence,63
balcony,lester nowhere,jazz,2017,sadness,43
ready to burn,krokus,blues,1983,night/time,98
come back to bed,john mayer,pop,2003,violence,64
cochise,audioslave,rock,2002,world/life,43
more than a feeling,boston,rock,1976,sadness,28
no you don't,sweet,pop,1974,obscene,42
amazing,aerosmith,rock,1993,obscene,28
undercover lover (feat. gonzo),tribal seeds,reggae,2014,violence,41
sanity,bad religion,pop,1989,world/life,73
thanksgiving theme,vince guaraldi trio,jazz,1965,world/life,30
macrowave,suff daddy,jazz,2016,obscene,129
baby,firefall,country,1978,sadness,34
waiting for my real life to begin,colin hay,pop,2000,world/life,74
eli's coming,three dog night,pop,1969,sadness,131
the search,del shannon,pop,1961,music,6
like a hurricane,the jeff healey band,blues,2008,sadness,74
perfect government,nofx,pop,1994,obscene,41
tomorrow doesn't matter tonight,starship,pop,1985,night/time,90
heart attack,demi lovato,pop,2013,sadness,130
it's a blue world,ella fitzgerald,blues,1962,world/life,18
louisiana blues,muddy waters,blues,1957,feelings,21
inspector mills,america,country,1982,sadness,104
drift away,the expendables,reggae,2002,sadness,48
sweets for my sweet,the searchers,pop,1963,romantic,65
love never broke anyone's heart,vince gill,country,1992,sadness,33
my god,jethro tull,blues,1971,violence,50
wilson,phish,blues,1988,violence,75
from what we give,tracy lawrence,country,1996,world/life,47
he must have really hurt you bad,george strait,country,2006,sadness,47
deep inside,incubus,rock,1997,sadness,74
with a child's heart,michael jackson,pop,1973,sadness,41
long stick goes boom,krokus,blues,1982,night/time,62
exposed,charlie farley,country,2013,obscene,176
lonesome and a long way from home,eric clapton,blues,1970,music,55
veins,blue öyster cult,blues,1983,violence,70
get ur freak on,missy elliott,pop,2001,obscene,177
black coffee,black flag,rock,1984,violence,79
please come home for christmas,eagles,rock,1994,music,51
boss's daughter,pop evil,rock,2011,violence,128
leave it,yes,jazz,1983,sadness,80
love isn't easy (but it sure is hard enough),abba,pop,1973,romantic,119
space jam,jerry garcia,blues,2000,violence,88
still right here in my heart,pure prairie league,country,1981,sadness,39
i knew i loved you,savage garden,pop,1999,world/life,69
amen (feat. drake),meek mill,pop,2012,obscene,174
one drop of truth,the wood brothers,blues,2018,violence,79
gold digger,epmd,hip hop,2015,obscene,94
give it away,johnny cash,country,1977,sadness,44
window,magic giant,rock,2017,sadness,72
runnin' away,ambrosia,pop,1976,sadness,64
blondie,current joys,rock,2013,sadness,11
rain is falling,electric light orchestra,pop,1981,sadness,99
lost in love,new edition,pop,1984,world/life,58
x men,lil yachty,hip hop,2017,obscene,92
if i had a hammer,"peter, paul and mary",pop,1962,music,59
alive and well,tammy wynette,country,1964,violence,52
going home,alice cooper,blues,1976,music,67
how i wanted to,richard thompson,country,1983,romantic,47
she's pulling me back again,mickey gilley,country,1974,romantic,34
don't forget me (when i'm gone),glass tiger,pop,1993,sadness,53
night and day,stan getz,jazz,1973,obscene,185
i fell in love,susan tedeschi,blues,2002,sadness,40
straight outta cold beer,blake shelton,country,2016,obscene,134
let him try,alton ellis,reggae,1967,sadness,19
turn my head,live,rock,1997,violence,56
all that you dream,little feat,country,1978,world/life,54
romeo had juliette,lou reed,rock,1989,violence,115
i've got a crush on you,steve tyrell,jazz,2003,world/life,30
love is strange,buddy holly,pop,1969,romantic,31
may this be love,jimi hendrix,blues,1967,world/life,26
while i'm waiting,steve miller band,blues,1982,music,72
in my feelings,drake,pop,2018,obscene,155
don't you know,one drop,reggae,2008,obscene,180
muskrat,the everly brothers,pop,1961,world/life,52
the city,al green,blues,1974,sadness,83
city of angels,the miracles,pop,1975,sadness,75
don't start me talking,john hammond,blues,2006,obscene,64
adventures in paradise,minnie riperton,jazz,1975,world/life,43
true colors,the weeknd,pop,2016,violence,127
stay,post malone,pop,2018,obscene,94
drinking too much,james leg,blues,2011,obscene,155
colors,grace potter & the nocturnals,blues,2010,violence,85
a fine romance,stacey kent,jazz,2010,romantic,137
it don't mean a thing (if it ain't got that swing),tony bennett,jazz,2014,music,26
goin' to acapulco,bob dylan,pop,1975,feelings,60
voices,godsmack,rock,2004,music,51
two winters long,irma thomas,blues,2004,music,56
lily of the west,bob dylan,pop,1973,violence,64
i'll have to make some changes,marty robbins,country,1967,world/life,58
dull gold heart,band of skulls,blues,2009,sadness,30
supermassive black hole,muse,rock,2006,violence,126
seminole wind,john anderson,country,1996,music,84
you're my favorite song,demi lovato,pop,2010,music,69
i like to move it,will.i.am,pop,2008,obscene,186
i'm not awake yet,rory gallagher,blues,1971,sadness,38
dead man's curve,jan & dean,pop,1990,violence,104
"oh, yes, oh!",the kingston trio,rock,1961,night/time,116
superposition,daniel caesar,pop,2019,world/life,63
sugar cane,jeff beck,jazz,1972,romantic,101
angels (live in studio),katastro,reggae,2011,world/life,71
left handed cigarettes,radioinactive,hip hop,2014,night/time,92
the prodigal sun,the black angels,blues,2006,violence,33
midsummer madness,88rising,pop,2018,obscene,181
life by the drop,doyle bramhall,blues,2003,world/life,71
(gotta get a) meal ticket,elton john,rock,1975,violence,63
watchdogs,ub40,reggae,1986,violence,41
nobody else but me,joe pass,jazz,1967,obscene,170
bang your head (metal health),quiet riot,rock,1984,violence,98
love is alive,louis the child,pop,2017,violence,126
habits of my heart,jaymes young,pop,2014,sadness,47
tower of babel,elton john,rock,1975,violence,65
the promise of a new day,paula abdul,pop,1991,world/life,149
mercy,wire,pop,1978,violence,74
into the sun,grand funk railroad,blues,2002,world/life,45
she never lets it go to her heart,tim mcgraw,country,1995,sadness,62
i don’t wanna die,hollywood undead,rock,2011,violence,177
every night is friday night (without you),old 97's,country,2010,night/time,44
vanishing,a perfect circle,rock,2003,sadness,76
why'd you lie?,colin james,blues,1988,obscene,51
high priestess,uriah heep,blues,1971,sadness,17
big fool,ronnie self,rock,1955,sadness,54
monstrocity,meshuggah,jazz,2016,violence,72
country boyz,nappy roots,hip hop,2019,obscene,109
whatever lola wants (lola gets),sarah vaughan,jazz,1958,sadness,40
of matter,tesseract,jazz,2013,sadness,52
foolin' around,waylon jennings,country,1967,sadness,34
too much attention,gilbert o'sullivan,pop,1971,world/life,43
need your love,gary bartz,jazz,1980,obscene,155
take it off,joe nichols,country,2011,violence,77
old before my time,the allman brothers band,country,2003,world/life,77
the secret place,phil wickham,rock,2016,sadness,32
grey cell green,ned's atomic dustbin,pop,1991,sadness,80
cocoon,milky chance,rock,2017,violence,37
get my party on,shaggy,reggae,2002,obscene,187
breaking the rules,ac/dc,rock,1981,obscene,79
love affairs,michael martin murphey,country,1982,sadness,54
keep on dreamin',alabama,country,1980,romantic,26
"right place, right time",denise lasalle,blues,1984,obscene,170
do the stevie,j-kwon,hip hop,2009,violence,86
call me animal,mc5,blues,1970,violence,53
hallelujah i'm ready,ricky skaggs,country,1982,night/time,66
settin' the woods on fire,the tractors,country,1994,night/time,74
bet mi money,vybz kartel,reggae,2016,obscene,54
things i cannot change,the mavericks,country,1999,world/life,58
immune,godsmack,rock,1998,world/life,74
surf tune,mike pinto,reggae,2007,world/life,55
no stoppin' us now,the doobie brothers,blues,1980,night/time,36
give it all,rise against,pop,2004,violence,23
grey matter,oingo boingo,pop,1982,violence,125
bad decisions,bumpin uglies,reggae,2015,obscene,94
in my lonely room,the action,blues,1981,sadness,58
people of the sun,rage against the machine,rock,1996,obscene,112
when the devil calls,blues saraceno,blues,2014,violence,120
walk on,billy currington,country,2008,violence,88
st. joseph's,the avett brothers,country,2008,world/life,31
thick as thieves,the jam,pop,1979,sadness,123
play it cool,brand nubian,hip hop,1998,obscene,172
walking the floor over you,asleep at the wheel,country,1988,sadness,41
my own life,long beach dub allstars,reggae,1999,violence,83
real situation,bob marley & the wailers,reggae,1980,obscene,41
parallax,between the buried and me,jazz,2012,sadness,27
bardis,snarky puppy,jazz,2019,sadness,36
gringo,the ventures,rock,1961,obscene,171
i cried a tear,lavern baker,blues,2005,sadness,27
wind-up toy,alice cooper,blues,1991,violence,104
castle,halsey,pop,2015,violence,144
a walk through hell,say anything,pop,2005,violence,99
making amends,g. love & special sauce,reggae,1997,world/life,42
the e.n.d.,the pharcyde,jazz,1995,violence,133
but not for me,ella fitzgerald,blues,1950,sadness,19
runaway,aurora,pop,2014,music,117
piece by piece,kelly clarkson,pop,2015,sadness,114
this is how we do it,montell jordan,pop,1995,obscene,135
i'll walk alone,dinah shore,jazz,2001,romantic,41
pledging my love,david allan coe,country,1981,romantic,31
citizen radio,egypt central,rock,2014,world/life,37
devil or angel,the clovers,pop,1956,violence,35
ichokratoria zontana (soundacracy),eisvoleas,hip hop,2012,violence,61
if all else fails,my morning jacket,country,1999,sadness,25
hello old broken heart,jean shepard,country,1956,sadness,29
how do you sleep?,john lennon,rock,1971,night/time,44
traumatized,popcaan,reggae,2019,violence,194
copped it,the fall,blues,1984,music,72
¿qué será? / ritmo que pesa / suelta los amarres / revolución en estéreo / lo de más,cultura profética,reggae,2012,sadness,61
old tennessee,dan fogelberg,country,1975,music,72
rusty cage,johnny cash,country,1996,sadness,93
cross-eyed mary,jethro tull,blues,1971,obscene,89
pacing the cage,bruce cockburn,country,1996,world/life,71
just by myself,greg brown,pop,1992,obscene,42
madam medusa,ub40,reggae,1980,violence,82
gigolo (feat. r. kelly),nick cannon,pop,2003,obscene,190
together as one,lucky dube,reggae,1992,world/life,72
color of my bloody nose,possessed by paul james,blues,2010,violence,105
the loving gift,johnny cash,country,1952,world/life,53
crucify me,bring me the horizon,rock,2010,violence,168
you and i,eddie rabbitt,country,1982,world/life,32
he's so strange,the go-go's,pop,1982,sadness,46
just for you,sam cooke,rock,1960,world/life,50
heartbreaker,dionne warwick,rock,1982,world/life,60
mistadobalina,del the funky homosapien,hip hop,2015,obscene,57
freeway,santana,blues,1997,obscene,196
tahoe,audiodub,reggae,2009,music,121
brand name,mac miller,pop,2015,obscene,167
till,shirley bassey,jazz,1961,world/life,65
'nuff respect,big daddy kane,hip hop,2017,obscene,67
the love gangster,stephen stills,country,1972,obscene,193
(this ain't) no thinkin' thing,trace adkins,country,1996,obscene,92
yesterdays gone,chad & jeremy,pop,1965,world/life,47
unlearn,reks,hip hop,2012,obscene,62
compared to what,roberta flack,jazz,1969,obscene,83
if you go away,scott walker,pop,1969,sadness,83
this is your life,switchfoot,pop,2003,world/life,65
"music, maestro, please!",the flamingos,pop,1959,music,40
del,hieroglyphics,jazz,1998,obscene,102
bully dread,toyan,reggae,1981,night/time,175
undertow,tool,rock,1993,violence,40
i guess i've come to live here in your eyes,willie nelson,country,1980,world/life,57
tears in the rain,tim mcgraw,country,1993,sadness,58
no salt on her tail,the mamas & the papas,pop,1966,sadness,52
i can't remember,alice in chains,rock,1990,violence,37
i'm with you,the millennium,pop,1968,obscene,186
#1 crush,garbage,pop,2007,sadness,57
sealed with a kiss,brian hyland,pop,1993,romantic,48
"swing, swing",the all-american rejects,pop,2002,music,84
blame it on da bay,lil wyte,country,2003,obscene,155
